city,state,lat,lon
Montgomery,AL,32.3792,-86.3077
Birmingham,AL,33.5207,-86.8025
Huntsville,AL,34.7304,-86.5861
Mobile,AL,30.6954,-88.0399
Tuscaloosa,AL,33.2098,-87.5692
Hoover,AL,33.4054,-86.8114
Dothan,AL,31.2232,-85.3905
Auburn,AL,32.6099,-85.4808
Decatur,AL,34.6059,-86.9833
Madison,AL,34.6993,-86.7483
Florence,AL,34.7998,-87.6773
Gadsden,AL,34.0143,-86.0066
Vestavia Hills,AL,33.4487,-86.7878
Prattville,AL,32.4640,-86.4597
Phenix City,AL,32.4710,-85.0007
Opelika,AL,32.6454,-85.3783
Juneau,AK,58.3005,-134.4197
Anchorage,AK,61.2181,-149.9003
Fairbanks,AK,64.8378,-147.7164
Wasilla,AK,61.5814,-149.4394
Sitka,AK,57.0531,-135.3300
Ketchikan,AK,55.3422,-131.6461
Kenai,AK,60.5544,-151.2583
Kodiak,AK,57.7900,-152.4072
Bethel,AK,60.7922,-161.7558
Palmer,AK,61.5994,-149.1126
Homer,AK,59.6425,-151.5483
Soldotna,AK,60.4878,-151.0583
Nome,AK,64.5011,-165.4064
Barrow,AK,71.2906,-156.7886
Valdez,AK,61.1309,-146.3483
Cordova,AK,60.5433,-145.7575
Phoenix,AZ,33.4484,-112.0740
Tucson,AZ,32.2226,-110.9747
Mesa,AZ,33.4152,-111.8315
Chandler,AZ,33.3062,-111.8413
Scottsdale,AZ,33.4942,-111.9261
Glendale,AZ,33.5387,-112.1860
Gilbert,AZ,33.3528,-111.7890
Tempe,AZ,33.4255,-111.9400
Peoria,AZ,33.5806,-112.2374
Surprise,AZ,33.6292,-112.3680
Yuma,AZ,32.6927,-114.6277
Flagstaff,AZ,35.1983,-111.6513
Goodyear,AZ,33.4353,-112.3587
Lake Havasu City,AZ,34.4839,-114.3225
Prescott,AZ,34.5400,-112.4685
Sierra Vista,AZ,31.5455,-110.3035
Little Rock,AR,34.7465,-92.2896
Fort Smith,AR,35.3859,-94.3985
Fayetteville,AR,36.0822,-94.1719
Springdale,AR,36.1867,-94.1288
Jonesboro,AR,35.8423,-90.7043
Rogers,AR,36.3320,-94.1185
Conway,AR,35.0887,-92.4421
North Little Rock,AR,34.7695,-92.2671
Pine Bluff,AR,34.2284,-92.0032
Hot Springs,AR,34.5037,-93.0552
Bentonville,AR,36.3729,-94.2088
Texarkana,AR,33.4418,-94.0377
Russellville,AR,35.2784,-93.1338
Paragould,AR,36.0584,-90.5132
Sacramento,CA,38.5816,-121.4944
Los Angeles,CA,34.0522,-118.2437
San Diego,CA,32.7157,-117.1611
San Jose,CA,37.3382,-121.8863
San Francisco,CA,37.7749,-122.4194
Fresno,CA,36.7378,-119.7871
Long Beach,CA,33.7701,-118.1937
Oakland,CA,37.8044,-122.2712
Bakersfield,CA,35.3733,-119.0187
Anaheim,CA,33.8366,-117.9143
Santa Ana,CA,33.7455,-117.8677
Riverside,CA,33.9806,-117.3755
Stockton,CA,37.9577,-121.2908
Irvine,CA,33.6846,-117.8265
Chula Vista,CA,32.6401,-117.0842
Fremont,CA,37.5485,-121.9886
San Bernardino,CA,34.1083,-117.2898
Modesto,CA,37.6391,-120.9969
Fontana,CA,34.0922,-117.4350
Santa Clarita,CA,34.3917,-118.5426
Oxnard,CA,34.1975,-119.1771
Moreno Valley,CA,33.9425,-117.2297
Glendale,CA,34.1425,-118.2551
Huntington Beach,CA,33.6595,-117.9988
Santa Rosa,CA,38.4405,-122.7141
Oceanside,CA,33.1959,-117.3795
Elk Grove,CA,38.4088,-121.3716
Ontario,CA,34.0633,-117.6509
Rancho Cucamonga,CA,34.1064,-117.5931
Santa Barbara,CA,34.4208,-119.6982
Redding,CA,40.5865,-122.3917
Eureka,CA,40.8021,-124.1637
Denver,CO,39.7392,-104.9903
Colorado Springs,CO,38.8339,-104.8214
Aurora,CO,39.7294,-104.8319
Fort Collins,CO,40.5853,-105.0844
Lakewood,CO,39.7047,-105.0814
Thornton,CO,39.8680,-104.9719
Arvada,CO,39.8028,-105.0875
Westminster,CO,39.8367,-105.0372
Pueblo,CO,38.2544,-104.6091
Greeley,CO,40.4233,-104.7091
Boulder,CO,40.0150,-105.2705
Grand Junction,CO,39.0639,-108.5506
Durango,CO,37.2753,-107.8801
Steamboat Springs,CO,40.4850,-106.8317
Hartford,CT,41.7658,-72.6734
Bridgeport,CT,41.1865,-73.1952
New Haven,CT,41.3083,-72.9279
Stamford,CT,41.0534,-73.5387
Waterbury,CT,41.5582,-73.0515
Norwalk,CT,41.1177,-73.4082
Danbury,CT,41.3948,-73.4540
New Britain,CT,41.6612,-72.7795
Meriden,CT,41.5382,-72.7970
Bristol,CT,41.6718,-72.9493
West Hartford,CT,41.7620,-72.7420
Greenwich,CT,41.0262,-73.6282
Milford,CT,41.2223,-73.0565
Middletown,CT,41.5624,-72.6506
Dover,DE,39.1582,-75.5244
Wilmington,DE,39.7391,-75.5398
Newark,DE,39.6837,-75.7497
Middletown,DE,39.4496,-75.7163
Smyrna,DE,39.2998,-75.6044
Milford,DE,38.9126,-75.4277
Seaford,DE,38.6413,-75.6110
Georgetown,DE,38.6901,-75.3857
Elsmere,DE,39.7393,-75.5977
Lewes,DE,38.7746,-75.1394
Rehoboth Beach,DE,38.7210,-75.0760
New Castle,DE,39.6622,-75.5668
Tallahassee,FL,30.4383,-84.2807
Jacksonville,FL,30.3322,-81.6557
Miami,FL,25.7617,-80.1918
Tampa,FL,27.9506,-82.4572
Orlando,FL,28.5383,-81.3792
St. Petersburg,FL,27.7676,-82.6403
Hialeah,FL,25.8576,-80.2781
Fort Lauderdale,FL,26.1224,-80.1373
Cape Coral,FL,26.5629,-81.9495
Port St. Lucie,FL,27.2730,-80.3582
Pembroke Pines,FL,26.0128,-80.2241
Gainesville,FL,29.6516,-82.3248
Clearwater,FL,27.9659,-82.8001
Pensacola,FL,30.4213,-87.2169
Sarasota,FL,27.3364,-82.5307
Naples,FL,26.1420,-81.7948
Daytona Beach,FL,29.2108,-81.0228
Palm Bay,FL,28.0345,-80.5887
Ocala,FL,29.1872,-82.1401
Key West,FL,24.5551,-81.7800
Atlanta,GA,33.7490,-84.3880
Augusta,GA,33.4735,-81.9748
Columbus,GA,32.4610,-84.9877
Savannah,GA,32.0809,-81.0912
Athens,GA,33.9519,-83.3576
Macon,GA,32.8407,-83.6324
Roswell,GA,34.0234,-84.3616
Albany,GA,31.5785,-84.1557
Johns Creek,GA,34.0289,-84.1986
Warner Robins,GA,32.6130,-83.6244
Alpharetta,GA,34.0754,-84.2941
Marietta,GA,33.9526,-84.5500
Valdosta,GA,30.8327,-83.2785
Smyrna,GA,33.8840,-84.5144
Dalton,GA,34.7698,-84.9702
Rome,GA,34.2570,-85.1647
Honolulu,HI,21.3069,-157.8583
Pearl City,HI,21.3972,-157.9750
Hilo,HI,19.7297,-155.0900
Kailua,HI,21.4022,-157.7394
Waipahu,HI,21.3867,-158.0092
Kaneohe,HI,21.4181,-157.8036
Kahului,HI,20.8893,-156.4729
Mililani Town,HI,21.4511,-158.0147
