zip,state,lat,lon
01001,MA,42.3244,-71.0306
01021,MA,42.0776,-71.7603
01041,MA,41.979,-72.6745
01061,MA,42.4784,-71.2823
01081,MA,42.4603,-71.4049
01101,MA,41.8588,-70.8022
01121,MA,41.694,-70.8533
01141,MA,42.2482,-70.966
01161,MA,42.3958,-70.8075
01181,MA,41.6104,-71.295
01202,MA,42.2295,-71.3154
01222,MA,42.3396,-71.2512
01242,MA,42.4686,-73.4494
01262,MA,41.819,-70.8106
01282,MA,41.6162,-70.3698
01302,MA,41.9176,-70.0573
01322,MA,42.3753,-70.8106
01342,MA,42.4244,-71.5617
01362,MA,41.8559,-72.5053
01382,MA,42.3464,-70.9075
01403,MA,42.6903,-71.2556
01423,MA,42.3128,-70.9271
01443,MA,41.5467,-70.7262
01463,MA,42.4754,-71.0594
01483,MA,42.4869,-71.0581
01503,MA,41.9072,-70.9939
01523,MA,42.3251,-70.9481
01543,MA,42.3098,-71.4373
01563,MA,42.6492,-73.3991
01583,MA,41.9653,-70.4432
01604,MA,41.534,-70.0721
01624,MA,42.0774,-70.4299
01644,MA,42.1428,-70.9737
01664,MA,42.3994,-71.6198
01684,MA,42.0636,-72.7878
01704,MA,42.3925,-71.0083
01724,MA,42.8715,-71.1786
01744,MA,42.1567,-70.7985
01764,MA,41.7596,-71.1073
01784,MA,42.2325,-71.0864
01805,MA,42.2606,-71.1724
01825,MA,41.8486,-71.126
01845,MA,42.4251,-71.2357
01865,MA,42.2163,-71.2652
01885,MA,42.5152,-73.2789
01905,MA,41.7168,-70.5807
01925,MA,41.7177,-70.2295
01945,MA,42.1176,-70.0556
01965,MA,42.4029,-70.9585
01985,MA,42.0489,-71.5883
02006,MA,41.9046,-72.4464
02026,MA,42.2743,-71.3164
02046,MA,42.766,-71.3474
02066,MA,42.031,-70.938
02086,MA,41.6232,-70.9175
02106,MA,42.0711,-71.0568
02126,MA,42.6155,-70.9266
02146,MA,41.9316,-71.333
02166,MA,42.4762,-70.8924
02186,MA,42.4845,-71.0945
02207,MA,42.3867,-73.0207
02227,MA,41.9852,-70.6398
02247,MA,41.5119,-70.5477
02267,MA,42.1067,-70.165
02287,MA,42.5836,-71.1566
02307,MA,42.3867,-71.6005
02327,MA,42.0234,-72.6335
02347,MA,42.4466,-71.1034
02367,MA,42.4639,-71.4558
02387,MA,42.2508,-71.1712
02408,MA,41.4769,-70.7844
02428,MA,42.429,-70.8266
02448,MA,42.683,-70.7023
02468,MA,41.6821,-71.1302
02488,MA,42.2829,-71.3158
02508,MA,42.1361,-71.0964
02528,MA,42.4437,-73.33
02548,MA,41.7725,-70.5896
02568,MA,41.5003,-70.2404
02588,MA,42.2585,-70.2747
02609,MA,42.3354,-71.0007
02629,MA,42.1654,-71.7602
02649,MA,42.1343,-72.6576
02669,MA,42.2818,-71.1455
02689,MA,42.3858,-71.4431
02709,MA,41.9442,-70.8985
02729,MA,41.6043,-70.7641
02749,MA,42.0701,-70.8858
02769,MA,42.6557,-70.9681
02801,RI,41.7819,-71.2783
02803,RI,41.5728,-71.2616
02806,RI,41.7005,-71.4348
02809,RI,41.6713,-71.4464
02812,RI,41.9411,-71.4398
02814,RI,42.0854,-71.6887
02817,RI,41.6169,-71.3519
02820,RI,41.8317,-71.2819
02823,RI,41.8474,-71.4379
02826,RI,41.357,-71.6511
02828,RI,41.8244,-71.3353
02831,RI,41.215,-71.6267
02834,RI,41.579,-71.2597
02837,RI,41.9219,-71.6238
02839,RI,41.6872,-71.1963
02842,RI,41.7109,-71.6019
02845,RI,41.9433,-71.29
02848,RI,42.0736,-71.3132
02851,RI,41.269,-71.247
02853,RI,42.0743,-71.3526
02856,RI,41.9006,-71.4947
02859,RI,41.3286,-71.7369
02862,RI,41.7039,-71.364
02864,RI,41.5714,-71.2449
02867,RI,41.578,-71.5229
02870,RI,41.714,-71.206
02873,RI,41.8799,-71.4642
02876,RI,41.7313,-71.3604
02878,RI,41.9579,-71.2941
02881,RI,42.1016,-71.3207
02884,RI,41.6309,-71.3605
02887,RI,41.8162,-71.532
02889,RI,41.6592,-71.4754
02892,RI,41.4901,-71.7073
02895,RI,41.4901,-71.0202
02898,RI,41.3421,-71.6531
02901,RI,41.8499,-71.4021
02903,RI,41.8286,-71.5862
02906,RI,41.5437,-71.289
02909,RI,41.925,-71.5119
02912,RI,41.9508,-71.2568
02914,RI,42.2464,-71.7093
02917,RI,41.2701,-71.3763
02920,RI,42.0311,-71.5056
02923,RI,41.6646,-71.3171
02926,RI,41.19,-71.9283
02928,RI,41.7955,-71.2896
02931,RI,41.6916,-71.2968
02934,RI,42.0685,-71.38
02937,RI,41.8973,-71.3523
03031,NH,43.3518,-71.6989
03048,NH,42.9733,-71.4153
03065,NH,42.9811,-71.671
03082,NH,43.0975,-70.9394
03100,NH,43.244,-71.1919
03117,NH,42.8974,-72.2527
03134,NH,42.9682,-70.9453
03152,NH,43.6252,-71.5832
03169,NH,43.6558,-72.2394
03186,NH,43.4749,-72.2908
03204,NH,44.2734,-71.0702
03221,NH,43.8215,-71.4445
03238,NH,43.694,-72.1953
03256,NH,44.2706,-70.8853
03273,NH,43.1017,-71.4832
03290,NH,42.9038,-71.4421
03308,NH,43.0129,-71.5407
03325,NH,43.0128,-70.8424
03342,NH,43.3144,-70.9098
03360,NH,42.93,-72.4379
03377,NH,43.1265,-70.6583
03394,NH,43.7675,-71.7196
03412,NH,43.4043,-72.189
03429,NH,43.186,-72.1728
03446,NH,44.6185,-70.9356
03464,NH,43.714,-71.7712
03481,NH,43.7324,-72.2208
03498,NH,43.8093,-71.2778
03515,NH,43.0989,-71.3925
03533,NH,42.8995,-71.4515
03550,NH,42.6774,-71.7145
03567,NH,43.2908,-70.953
03585,NH,43.4167,-70.9177
03602,NH,42.6983,-72.4401
03619,NH,42.9871,-70.8436
03637,NH,43.6141,-71.2623
03654,NH,43.7909,-72.1789
03671,NH,43.3677,-72.2832
03689,NH,44.6647,-71.1666
03706,NH,43.6746,-71.5461
03723,NH,43.6592,-72.1683
03741,NH,44.2213,-71.2287
03758,NH,43.3206,-71.6298
03775,NH,43.0135,-71.6007
03793,NH,42.8581,-71.3178
03810,NH,43.3919,-70.9469
03827,NH,43.5393,-71.0855
03845,NH,42.6993,-72.0361
03862,NH,43.1351,-70.5914
03879,NH,43.5634,-71.5256
03901,ME,44.3715,-69.5903
03921,ME,43.4556,-70.0993
03941,ME,43.9418,-70.2644
03961,ME,45.0328,-68.8853
03981,ME,43.5844,-70.0656
04002,ME,44.2478,-70.1568
04022,ME,43.6411,-70.6468
04042,ME,43.5374,-70.9949
04062,ME,44.1357,-70.1356
04082,ME,43.4589,-70.3974
04103,ME,43.7292,-70.2325
04123,ME,43.5176,-70.4313
04143,ME,44.3169,-68.4395
04163,ME,46.7734,-67.8466
04183,ME,44.5473,-69.9642
04204,ME,43.8693,-70.4503
04224,ME,44.056,-70.4418
04244,ME,44.6824,-68.8641
04264,ME,43.7438,-70.1519
04284,ME,44.2317,-70.1929
04305,ME,43.5251,-70.2144
04325,ME,43.5242,-70.855
04345,ME,43.9261,-69.865
04365,ME,43.2985,-70.3619
04385,ME,43.4524,-70.3988
04406,ME,43.7651,-70.4288
04426,ME,44.5571,-68.1747
04446,ME,46.9251,-68.2386
04466,ME,44.3823,-69.951
04486,ME,43.8335,-70.0809
04507,ME,44.2851,-70.4274
04527,ME,44.7974,-68.9008
04547,ME,43.8766,-70.4657
04567,ME,43.9593,-70.1595
04587,ME,43.4442,-70.5858
04608,ME,43.4188,-70.6236
04628,ME,43.8885,-69.787
04648,ME,43.4744,-70.6334
04668,ME,43.5768,-70.245
04688,ME,43.4783,-70.415
04709,ME,44.4162,-68.4538
04729,ME,46.4766,-67.9638
04749,ME,44.3701,-69.8772
04769,ME,43.6633,-70.4034
04789,ME,44.1861,-69.9896
04810,ME,44.7333,-68.9941
04830,ME,43.503,-70.2637
04850,ME,44.128,-70.1713
04870,ME,43.4792,-70.3747
04890,ME,43.5473,-70.9672
04911,ME,44.0442,-70.1044
04931,ME,43.4216,-70.2779
04951,ME,43.8103,-70.4257
04971,ME,43.688,-70.2702
05001,VT,44.2054,-72.6712
05019,VT,44.2521,-73.4598
05037,VT,44.6031,-73.0374
05055,VT,43.825,-73.0353
05073,VT,44.0663,-72.7063
05091,VT,42.839,-72.9522
05109,VT,42.7695,-72.7118
05127,VT,44.8955,-73.2228
05145,VT,45.1275,-72.0566
05164,VT,44.1805,-73.3334
05182,VT,44.2527,-72.0573
05200,VT,44.2692,-72.7738
05218,VT,43.1947,-73.2276
05236,VT,43.4779,-72.4978
05254,VT,44.4796,-72.765
05272,VT,44.3328,-73.2838
05290,VT,44.3037,-73.2199
05309,VT,43.5187,-73.028
05327,VT,44.1764,-72.719
05345,VT,43.0357,-73.1218
05363,VT,42.7854,-72.7742
05381,VT,44.6703,-73.1823
05399,VT,44.9858,-71.9635
05417,VT,43.8162,-73.1492
05435,VT,44.6645,-71.8399
05454,VT,44.3011,-72.4579
05472,VT,43.2136,-72.8317
05490,VT,43.7225,-72.4297
05508,VT,44.4963,-72.4785
05526,VT,44.3919,-73.1444
05544,VT,44.6589,-73.262
05562,VT,43.7864,-72.9815
05580,VT,44.1146,-72.4477
05598,VT,42.9207,-73.2556
05617,VT,42.9212,-72.6917
05635,VT,44.8547,-72.8389
05653,VT,44.8027,-72.1469
05671,VT,44.2137,-73.2629
05689,VT,44.5382,-71.8865
05707,VT,44.5253,-72.9074
05725,VT,43.101,-73.1741
05743,VT,43.4501,-72.6665
05762,VT,44.0291,-72.3637
05780,VT,44.5249,-72.9892
05798,VT,44.5865,-73.2567
05816,VT,43.4997,-72.9008
05834,VT,44.3272,-72.4916
05852,VT,43.117,-73.1228
05870,VT,42.7451,-72.7961
05888,VT,44.9845,-73.1675
06001,CT,41.9048,-72.6668
06019,CT,40.991,-73.1933
06038,CT,41.531,-73.1562
06056,CT,41.195,-73.3552
06075,CT,41.5689,-73.0725
06093,CT,41.3497,-73.6278
06112,CT,41.3843,-73.5032
06130,CT,41.7542,-72.7844
06149,CT,41.7431,-73.0103
06167,CT,41.4622,-72.8952
06186,CT,41.5448,-72.8545
06204,CT,41.0927,-73.604
06223,CT,41.1349,-72.8092
06242,CT,41.5777,-72.6737
06260,CT,41.8185,-72.8738
06279,CT,41.2874,-73.0188
06297,CT,41.3838,-72.7934
06316,CT,41.1638,-73.6812
06334,CT,41.534,-73.1873
06353,CT,41.0372,-73.4315
06371,CT,41.3528,-73.6565
06390,CT,41.6246,-72.6969
06408,CT,41.4754,-72.9707
06427,CT,41.8833,-73.1657
06445,CT,41.9279,-72.9454
06464,CT,40.8245,-73.5088
06483,CT,41.3782,-73.0283
06501,CT,41.6056,-72.6198
06520,CT,41.6806,-72.8623
06538,CT,41.1133,-73.1125
06557,CT,41.4334,-72.7439
06575,CT,41.1639,-73.3045
06594,CT,41.6084,-73.1257
06612,CT,41.1567,-73.5518
06631,CT,41.4732,-73.5919
06649,CT,41.4653,-72.6068
06668,CT,41.472,-72.6657
06686,CT,41.7089,-72.7957
06705,CT,41.9346,-72.5047
06724,CT,41.1854,-73.5714
06742,CT,41.2936,-73.2934
06761,CT,41.7769,-72.4859
06779,CT,41.6495,-72.8332
06798,CT,41.2878,-73.2907
06816,CT,41.2282,-73.1748
06835,CT,41.2383,-73.5055
06853,CT,41.5086,-73.2306
06872,CT,41.1843,-73.6429
06890,CT,41.5179,-73.5964
06909,CT,41.6211,-72.8591
07001,NJ,40.2647,-74.5606
07021,NJ,40.8615,-74.0698
07041,NJ,40.625,-74.2773
07061,NJ,40.8737,-74.1733
07081,NJ,40.5327,-74.2347
07101,NJ,40.7441,-74.554
07121,NJ,40.4588,-74.4785
07141,NJ,40.0962,-74.059
07161,NJ,40.1326,-75.1477
07181,NJ,39.1268,-74.4316
07201,NJ,40.4862,-74.6067
07221,NJ,40.5691,-74.551
07241,NJ,38.9469,-74.7682
07262,NJ,40.5656,-73.8465
07282,NJ,40.9579,-74.2625
07302,NJ,40.9743,-74.2271
07322,NJ,40.3294,-74.7632
07342,NJ,40.8425,-74.1612
07362,NJ,40.4699,-73.8269
07382,NJ,41.0103,-74.1247
07402,NJ,40.4574,-74.2273
07422,NJ,40.2918,-74.4018
07442,NJ,40.6371,-74.3784
07462,NJ,39.9925,-74.2918
07482,NJ,40.122,-75.2092
07503,NJ,39.2106,-74.5346
07523,NJ,40.3958,-74.4812
07543,NJ,40.1661,-74.8425
07563,NJ,38.8219,-75.1484
07583,NJ,40.8055,-74.0254
07603,NJ,40.6501,-74.5563
07623,NJ,40.7951,-74.2227
07643,NJ,40.3193,-74.8513
07663,NJ,40.6081,-74.3868
07683,NJ,40.7744,-74.1237
07703,NJ,40.8886,-74.3568
07723,NJ,40.6493,-74.123
07743,NJ,40.3217,-74.6352
07764,NJ,40.5208,-74.4451
07784,NJ,40.0018,-74.1515
07804,NJ,40.094,-75.0199
07824,NJ,39.4225,-74.5167
07844,NJ,40.6449,-74.3454
07864,NJ,40.4427,-74.6505
07884,NJ,39.1719,-74.7781
07904,NJ,40.7268,-74.2165
07924,NJ,40.9532,-74.2717
07944,NJ,40.87,-74.0657
07964,NJ,40.3093,-74.6378
07984,NJ,40.7184,-74.3066
08005,NJ,40.5797,-73.8626
08025,NJ,40.9753,-73.9654
08045,NJ,40.6099,-74.1109
08065,NJ,40.6013,-74.2677
08085,NJ,40.7488,-74.308
08105,NJ,39.7188,-74.2102
08125,NJ,39.8516,-75.139
08145,NJ,39.1997,-74.2889
08165,NJ,40.5384,-74.6381
08185,NJ,40.1588,-74.5084
